,Actual,Future Predict
2024-05-28 00:00:00-04:00,3.630000114440918,
2024-05-29 00:00:00-04:00,3.3499999046325684,
2024-05-30 00:00:00-04:00,3.359999895095825,
2024-05-31 00:00:00-04:00,3.390000104904175,
2024-06-03 00:00:00-04:00,3.2899999618530273,
2024-06-04 00:00:00-04:00,3.180000066757202,
2024-06-05 00:00:00-04:00,3.1700000762939453,
2024-06-06 00:00:00-04:00,3.0999999046325684,
2024-06-07 00:00:00-04:00,3.0399999618530273,
2024-06-10 00:00:00-04:00,3.069999933242798,
2024-06-11 00:00:00-04:00,2.9800000190734863,
2024-06-12 00:00:00-04:00,2.990000009536743,
2024-06-13 00:00:00-04:00,2.930000066757202,
2024-06-14 00:00:00-04:00,2.7799999713897705,
2024-06-17 00:00:00-04:00,2.799999952316284,
2024-06-18 00:00:00-04:00,2.809999942779541,
2024-06-20 00:00:00-04:00,2.8399999141693115,
2024-06-21 00:00:00-04:00,2.8499999046325684,
2024-06-24 00:00:00-04:00,2.7599999904632564,
2024-06-25 00:00:00-04:00,2.609999895095825,
2024-06-26 00:00:00-04:00,2.7100000381469727,
2024-06-27 00:00:00-04:00,2.7799999713897705,
2024-06-28 00:00:00-04:00,2.680000066757202,
2024-07-01 00:00:00-04:00,2.6500000953674316,
2024-07-02 00:00:00-04:00,2.5299999713897705,
2024-07-03 00:00:00-04:00,2.700000047683716,
2024-07-05 00:00:00-04:00,2.6500000953674316,
2024-07-08 00:00:00-04:00,2.640000104904175,
2024-07-09 00:00:00-04:00,2.5399999618530273,
2024-07-10 00:00:00-04:00,2.5799999237060547,
2024-07-11 00:00:00-04:00,2.7100000381469727,
2024-07-12 00:00:00-04:00,2.7599999904632564,
2024-07-15 00:00:00-04:00,2.9000000953674316,
2024-07-16 00:00:00-04:00,3.2100000381469727,
2024-07-17 00:00:00-04:00,3.0399999618530273,
2024-07-18 00:00:00-04:00,2.859999895095825,
2024-07-19 00:00:00-04:00,2.8399999141693115,
2024-07-22 00:00:00-04:00,2.8499999046325684,
2024-07-23 00:00:00-04:00,2.8299999237060547,
2024-07-24 00:00:00-04:00,2.6600000858306885,
2024-07-25 00:00:00-04:00,2.7300000190734863,
2024-07-26 00:00:00-04:00,2.8299999237060547,
2024-07-29 00:00:00-04:00,2.7100000381469727,
2024-07-30 00:00:00-04:00,2.5999999046325684,
2024-07-31 00:00:00-04:00,2.7100000381469727,
2024-08-01 00:00:00-04:00,2.549999952316284,
2024-08-02 00:00:00-04:00,2.4000000953674316,
2024-08-05 00:00:00-04:00,2.309999942779541,
2024-08-06 00:00:00-04:00,2.2899999618530273,
2024-08-07 00:00:00-04:00,2.2300000190734863,
2024-08-08 00:00:00-04:00,2.2799999713897705,
2024-08-09 00:00:00-04:00,2.190000057220459,
2024-08-12 00:00:00-04:00,2.130000114440918,
2024-08-13 00:00:00-04:00,2.319999933242798,
2024-08-14 00:00:00-04:00,2.2100000381469727,
2024-08-15 00:00:00-04:00,2.390000104904175,
2024-08-16 00:00:00-04:00,2.569999933242798,
2024-08-19 00:00:00-04:00,2.630000114440918,
2024-08-20 00:00:00-04:00,2.5199999809265137,
2024-08-21 00:00:00-04:00,2.799999952316284,
2024-08-22 00:00:00-04:00,2.640000104904175,
2024-08-23 00:00:00-04:00,2.7200000286102295,
2024-08-26 00:00:00-04:00,2.7599999904632564,
2024-08-27 00:00:00-04:00,2.640000104904175,
2024-08-28 00:00:00-04:00,2.5399999618530273,
2024-08-29 00:00:00-04:00,2.5899999141693115,
2024-08-30 00:00:00-04:00,2.450000047683716,
2024-09-03 00:00:00-04:00,2.2699999809265137,
2024-09-04 00:00:00-04:00,2.359999895095825,
2024-09-05 00:00:00-04:00,,2.6263442
2024-09-06 00:00:00-04:00,,2.6059072
2024-09-09 00:00:00-04:00,,2.5970035
2024-09-10 00:00:00-04:00,,2.5959728
2024-09-11 00:00:00-04:00,,2.600236
2024-09-12 00:00:00-04:00,,2.6080441
2024-09-13 00:00:00-04:00,,2.618267
2024-09-16 00:00:00-04:00,,2.6301782
2024-09-17 00:00:00-04:00,,2.6433342
2024-09-18 00:00:00-04:00,,2.657474
2024-09-19 00:00:00-04:00,,2.6724477
2024-09-20 00:00:00-04:00,,2.6881833
2024-09-23 00:00:00-04:00,,2.7046738
2024-09-24 00:00:00-04:00,,2.7219176
2024-09-25 00:00:00-04:00,,2.739924
2024-09-26 00:00:00-04:00,,2.7587266
2024-09-27 00:00:00-04:00,,2.7783535
2024-09-30 00:00:00-04:00,,2.7988627
2024-10-01 00:00:00-04:00,,2.8202808
2024-10-02 00:00:00-04:00,,2.8426552
2024-10-03 00:00:00-04:00,,2.8660285
2024-10-04 00:00:00-04:00,,2.8904607
2024-10-07 00:00:00-04:00,,2.916011
2024-10-08 00:00:00-04:00,,2.9427335
2024-10-09 00:00:00-04:00,,2.9706957
2024-10-10 00:00:00-04:00,,2.9999776
2024-10-11 00:00:00-04:00,,3.0306208
2024-10-14 00:00:00-04:00,,3.0627072
2024-10-15 00:00:00-04:00,,3.0963326
2024-10-16 00:00:00-04:00,,3.1315906
2024-10-17 00:00:00-04:00,,3.1685798
2024-10-18 00:00:00-04:00,,3.2073998
2024-10-21 00:00:00-04:00,,3.2481833
2024-10-22 00:00:00-04:00,,3.29106
2024-10-23 00:00:00-04:00,,3.3361547
2024-10-24 00:00:00-04:00,,3.3836212
2024-10-25 00:00:00-04:00,,3.4336386
2024-10-28 00:00:00-04:00,,3.4863684
2024-10-29 00:00:00-04:00,,3.542009
2024-10-30 00:00:00-04:00,,3.6007771
2024-10-31 00:00:00-04:00,,3.6629095
2024-11-01 00:00:00-04:00,,3.7286565
2024-11-04 00:00:00-05:00,,3.7983031
2024-11-05 00:00:00-05:00,,3.8721385
2024-11-06 00:00:00-05:00,,3.9504921
2024-11-07 00:00:00-05:00,,4.0337358
2024-11-08 00:00:00-05:00,,4.1222267
2024-11-11 00:00:00-05:00,,4.2163973
2024-11-12 00:00:00-05:00,,4.3166814
2024-11-13 00:00:00-05:00,,4.4235263
2024-11-14 00:00:00-05:00,,4.53739
2024-11-15 00:00:00-05:00,,4.658787
2024-11-18 00:00:00-05:00,,4.788141
2024-11-19 00:00:00-05:00,,4.9259157
2024-11-20 00:00:00-05:00,,5.0724792
2024-11-21 00:00:00-05:00,,5.228085
2024-11-22 00:00:00-05:00,,5.392844
2024-11-25 00:00:00-05:00,,5.5666614
2024-11-26 00:00:00-05:00,,5.749091
